"subj_id","trial","pA","xA1","xA2","pB","xB1","xB2","choice"
3,41,0.91,80,19,0.64,37,65,0
3,42,0.73,75,34,0.9,56,82,0
3,43,0.87,77,72,0.26,67,100,1
3,44,0.92,63,5,0.63,43,53,1
3,45,0.05,56,72,0.95,68,95,1
3,46,0.25,84,43,0.43,7,97,0
3,47,0.78,32,99,0.32,39,56,0
3,48,0.09,83,67,0.48,77,6,0
3,49,0.08,54,31,0.15,44,29,1
3,50,0.04,39,28,0.39,53,20,1
3,51,0.44,14,72,0.21,9,31,0
3,52,0.31,39,51,0.84,16,91,0
3,53,0.1,45,14,0.14,25,27,1
3,54,0.51,44,38,0.38,20,86,1
3,55,0.33,85,60,0.24,98,26,0
3,56,0.68,30,67,0.59,7,59,0
3,57,0.49,15,50,0.94,64,14,1
3,58,0.52,68,90,0.19,1,87,0
3,59,0.63,65,74,0.47,7,85,0
3,60,0.28,7,74,0.71,55,63,1
3,61,0.33,-23,-29,0.43,-67,-28,0
3,62,0.76,-3,-92,0.62,-14,-83,0
3,63,0.82,-40,-90,0.17,-46,-64,1
3,64,0.3,-89,-72,0.96,-96,-37,0
3,65,0.13,-51,-56,0.93,-47,-70,1
3,66,0.96,-61,-56,0.34,-7,-63,1
3,67,0.44,-59,0,0.43,-80,-24,0
3,68,0.25,-94,-37,0.83,-49,-11,1
3,69,0.16,-15,-67,0.72,-56,-83,0
3,70,0.51,-26,-76,0.77,-48,-34,1
3,71,0.49,-1,-54,0.77,-33,-30,0
3,72,0.73,-49,-75,0.17,-2,-100,0
3,73,0.6,-46,-21,0.42,-99,-37,0
3,74,0.29,-67,-28,0.05,-46,-44,1
3,75,0.56,-4,-80,0.04,-46,-58,0
3,76,0.77,-77,-62,0.71,-94,-51,1
3,77,0.38,-22,-15,0.38,-4,-36,0
3,78,0.56,-6,-59,0.64,-27,-83,0
3,79,0.37,-91,-33,0.49,-41,-61,1
3,80,0.61,-73,-58,0.44,-83,-8,1
3,81,0.09,-54,-41,0.79,-65,-28,0
3,82,0.29,-25,-86,0.76,-38,-99,1
3,83,0.93,-55,-17,0.27,-88,-35,0
3,84,0.45,-37,-34,0.41,-11,-54,1
3,85,0.13,-19,-56,0.7,-32,-37,1
3,86,0.66,-8,-95,0.93,-42,-30,1
